pdbid,-logKd/Ki,Kd/Ki
2k46,4.58,Kd=26.3uM
3nc4,4.58,IC50=26.6uM
3vvz,4.58,Kd=26.4uM
4bi7,4.58,Kd=26.4uM
4qbm,4.58,Kd=26.08uM
1bma,4.59,Ki=26uM
1d04,4.59,Kd=26uM
1fj4,4.59,Kd=26uM
1iew,4.59,Ki=25.50uM
1kak,4.59,IC50=26uM
1l2s,4.59,Ki=26uM
1vcj,4.59,IC50=26uM
2c69,4.59,IC50=26uM
2ihj,4.59,Ki=25.7uM
2jiw,4.59,Ki=26uM
2x6f,4.59,IC50=25.713uM
2x6y,4.59,Kd=26uM
2y2i,4.59,IC50=26uM
2ybs,4.59,IC50=26uM
3f3t,4.59,Kd=26uM
3h2o,4.59,IC50=25.9uM
3hp9,4.59,Ki=26uM
3iqh,4.59,Kd=25.8uM
3msk,4.59,IC50=26uM
3mt9,4.59,IC50=25.7uM
3ob2,4.59,Kd=25.8uM
3ujc,4.59,Kd=26uM
3wq6,4.59,Ki=26uM
4c6u,4.59,Kd=25.6uM
4c6v,4.59,Kd=25.6uM
4dcv,4.59,Kd=25.7uM
4g8y,4.59,Ki=25.8uM
4j74,4.59,Kd=26uM
4nrp,4.59,IC50=25.85uM
4xbo,4.59,Kd=26uM
4xua,4.59,IC50=26uM
4zun,4.59,IC50=26uM
1f7b,4.6,Ki=0.025mM
1pa9,4.6,Ki=25uM
1q9d,4.6,Kd=25uM
1tx7,4.6,Ki=25uM
1u33,4.6,Ki=25uM
1upf,4.6,Ki=25uM
2fsv,4.6,Kd=25uM
2gg8,4.6,IC50=25uM
2hpa,4.6,Ki=25uM
2jaj,4.6,IC50=25uM
2kbr,4.6,Kd=25.4uM
2ohq,4.6,IC50=25uM
2pyy,4.6,Kd=25uM
2q80,4.6,Ki=25uM
2r1w,4.6,Kd=25uM
2v54,4.6,Ki=25uM
2v87,4.6,Kd=25.1uM
2vb8,4.6,Kd=25uM
2vba,4.6,Kd=25uM
2w6q,4.6,IC50=25.4uM
2wlz,4.6,Ki=25uM
2x0y,4.6,Ki=25uM
2yof,4.6,Ki=25uM
3cpb,4.6,IC50=25uM
3d7k,4.6,Kd=25uM
3iqg,4.6,Kd=24.9uM
3k0h,4.6,Ki=25uM
3lkj,4.6,IC50=25uM
3t2c,4.6,Kd=25uM
3vhk,4.6,Ki=25uM
4bc5,4.6,Ki=25uM
4dfb,4.6,Ki=25uM
4dfu,4.6,Ki=25.1uM
4jal,4.6,Kd=25uM
4p58,4.6,Ki=25uM
4prd,4.6,Kd=25.4uM
4prh,4.6,Kd=25.4uM
4z2p,4.6,Kd=25uM
2bo4,4.61,Ki=24.6uM
2xs8,4.61,Kd=24.5uM
2yga,4.61,Kd=24.5uM
3lgs,4.61,Kd=24.8uM
4a9c,4.61,IC50=24.8uM
4io4,4.61,Kd=24.5uM
4ocq,4.61,Kd=24.7uM
13gs,4.62,Ki=24uM
1f4f,4.62,Ki=24uM
1joc,4.62,Kd=24uM
1l0a,4.62,Kd=23.9uM
1mn9,4.62,Kd=24uM
1ofz,4.62,Kd=24.1uM
1sm3,4.62,Kd=24uM
1t5a,4.62,Ki=24uM
2a25,4.62,Kd=24uM
2a5c,4.62,Kd=24uM
2f6t,4.62,Ki=24uM
2k00,4.62,Kd=24uM
2rol,4.62,Kd=24uM
2xm2,4.62,Ki=24uM
2ybk,4.62,IC50=24uM
2ybp,4.62,IC50=24uM
3ewu,4.62,IC50=24uM
3exo,4.62,IC50=24uM
3f5k,4.62,Ki=0.024mM
3l0k,4.62,IC50=24uM
3p50,4.62,IC50=24uM
3tcy,4.62,Kd=24uM
3tk2,4.62,Kd=24uM
3u90,4.62,Kd=24uM
3umq,4.62,Kd=24.1uM
4abf,4.62,Kd=24uM
4ad3,4.62,Kd=24uM
4e35,4.62,Ki=24uM
4hej,4.62,IC50=24000nM
4os7,4.62,Ki=24uM
4pid,4.62,IC50=24uM
4ynl,4.62,Kd=24uM
2rqu,4.63,Kd=23.6uM
3mtb,4.63,IC50=23.2uM
3uj9,4.63,Kd=23.4uM
3v43,4.63,Kd=23.3uM
4c1f,4.63,IC50=23.3uM
4cfv,4.63,IC50=23.6uM
4hzm,4.63,Ki=23.2uM
4k6v,4.63,IC50=23.4uM
4os5,4.63,Ki=23.7uM
1c85,4.64,Ki=23uM
2xaf,4.64,Ki=23uM
2yhd,4.64,Ki=23.0uM
2z3h,4.64,Ki=23uM
3c72,4.64,IC50=22.7uM
3rqg,4.64,Kd=23uM
3wbl,4.64,IC50=23uM
4hbv,4.64,IC50=23uM
4myh,4.64,Kd=23uM
4psb,4.64,Kd=23uM
5e4w,4.64,Kd=23uM
2w12,4.65,IC50=22.2uM
2w87,4.65,Kd=22.2uM
3qtv,4.65,Ki=22.5uM
4i1r,4.65,Kd=22.6uM
4j78,4.65,Kd=22.5uM
4pkw,4.65,IC50=22.5uM
4q93,4.65,Ki=22.3uM
1bzj,4.66,Ki=22uM
1h01,4.66,IC50=22uM
1h4w,4.66,Ki=22uM
1m1b,4.66,Ki=22uM
1t49,4.66,IC50=22uM
2aoj,4.66,Kd=22.1uM
2ca8,4.66,Kd=22uM
2ha2,4.66,Kd=22uM
2l3r,4.66,Kd=22uM
2nyr,4.66,IC50=22uM
2xg5,4.66,IC50=22uM
3ddf,4.66,Ki=22uM
3h1z,4.66,Kd=22uM
3pkn,4.66,Kd=22uM
3rme,4.66,IC50=22uM
3sz1,4.66,IC50=21.8uM
4b84,4.66,IC50=22uM
4hso,4.66,Kd=22uM
4o42,4.66,Kd=22uM
4tt2,4.66,Kd=22uM
4yih,4.66,Ki=21.7uM
4z90,4.66,IC50=21.9uM
1f47,4.67,Kd=21.6uM
2h23,4.67,Kd=21.2uM
2w6m,4.67,IC50=21.5uM
3oob,4.67,Kd=21.6uM
3ud9,4.67,Kd=21.2uM
3vw0,4.67,Kd=21.2uM
3vw1,4.67,Kd=21.2uM
4e5g,4.67,IC50=21.3uM
4gkh,4.67,Ki=21.5uM
4nku,4.67,Kd=21.3uM
4xum,4.67,IC50=21.3uM
1c5p,4.68,Ki=21uM
1nyy,4.68,Ki=21uM
1ol1,4.68,IC50=21uM
1wn6,4.68,Ki=21uM
1xge,4.68,Kd=20.8uM
2nsl,4.68,Kd=20.9uM
2uy4,4.68,Ki=21uM
2ypo,4.68,Kd=21uM
3g35,4.68,Ki=0.021mM
3gl6,4.68,Kd=20.7uM
3qs4,4.68,Kd=21.0uM
3rv6,4.68,Ki=21uM
3uef,4.68,Kd=21.0uM
4l58,4.68,Kd=21uM
4lar,4.68,Kd=20.7uM
4o75,4.68,IC50=21uM
4ymg,4.68,Kd=21uM
5a5q,4.68,Kd=21uM
5aoj,4.68,Kd=21uM
5auu,4.68,IC50=21uM
2rio,4.69,Kd=20.4uM
3ujd,4.69,Kd=20.2uM
4j84,4.69,Kd=20.4uM
4tpw,4.69,Kd=20.5uM
4z89,4.69,Kd=20.2uM
1agw,4.7,IC50=20uM
1c5n,4.7,Ki=20uM
1c86,4.7,Ki=20uM
1fo2,4.7,IC50=20uM
1gpy,4.7,Kd=20uM
1h60,4.7,Kd=20uM
1om2,4.7,Kd=20uM
1v41,4.7,Ki=20uM
1xos,4.7,IC50=20uM
2c4w,4.7,Ki=20uM
2cex,4.7,Kd=20uM
2dw7,4.7,Ki=20uM
2fu8,4.7,Ki=20uM
2h9t,4.7,IC50=20uM
2i2c,4.7,Ki=0.02mM
2j9n,4.7,Kd=20uM
2jc0,4.7,IC50=20uM
2k62,4.7,Kd=20uM
2mwo,4.7,Kd=20uM
2qfo,4.7,Kd=20uM
2r3h,4.7,IC50=20uM
2xp6,4.7,IC50=20uM
2y2p,4.7,IC50=20uM
2y54,4.7,Kd=20uM
2ybt,4.7,IC50=20uM
3dg8,4.7,IC50=20uM
3h21,4.7,IC50=19.8uM
3ij1,4.7,Kd=20uM
3k5i,4.7,Kd=20uM
3kiv,4.7,Kd=20uM
3kr0,4.7,Kd=20uM
3lm1,4.7,Kd=20uM
3nkk,4.7,Kd=20uM
3p2k,4.7,Kd=20uM
3pab,4.7,Kd=20uM
3suw,4.7,Ki=20uM
3tg5,4.7,Kd=20uM
3uij,4.7,Kd=19.8uM
3uqf,4.7,Ki>20uM
3uxm,4.7,IC50=20uM
4fic,4.7,IC50=20uM
4huo,4.7,IC50=20uM
4j7d,4.7,Kd=20uM
4j93,4.7,Kd=20uM
4luz,4.7,Kd=20uM
4lzr,4.7,Kd=20uM
4o7b,4.7,IC50=20uM
4uiz,4.7,IC50=19.95uM
4uy1,4.7,IC50=20uM
6gch,4.7,Ki=20uM
1v2t,4.71,Ki=19.56uM
2ig0,4.71,Kd=19.7uM
2qrh,4.71,Ki=19.6uM
3fnm,4.71,Ki=19.7uM
3gwu,4.71,IC50=19.7uM
3h23,4.71,IC50=19.3uM
3ny3,4.71,Kd=19.3uM
3qs5,4.71,Kd=19.6uM
4cu1,4.71,Kd=19.4uM
4gvc,4.71,Kd=19.3uM
4ljh,4.71,Kd=19.4uM
184l,4.72,Kd=19uM
1h7a,4.72,Kd=19uM
1qxz,4.72,IC50=19uM
1urc,4.72,IC50=19.2uM
2o1c,4.72,Ki=19uM
3b9g,4.72,Ki=19uM
3cpj,4.72,Kd=18.9uM
3d9k,4.72,Kd=19uM
3ebo,4.72,Ki=19.01uM
3f6g,4.72,Ki=19uM
3f6h,4.72,Ki=19uM
3f9w,4.72,Kd=19uM
3oka,4.72,Kd=19uM
3okp,4.72,Kd=19uM
3omg,4.72,Kd=19uM
3r6c,4.72,Ki=19uM
4d1a,4.72,Kd=19uM
4jxw,4.72,Ki=19uM
4m5l,4.72,Kd=18.9uM
4nan,4.72,IC50=19uM
4o70,4.72,IC50=19uM
4o7a,4.72,IC50=19uM
4oyi,4.72,IC50=19uM
1m51,4.73,IC50=18.8uM
1v2o,4.73,Ki=18.45uM
1v2p,4.73,Ki=18.45uM
3vp4,4.73,IC50=18.6uM
4ayu,4.73,Kd=18.6uM
4e5j,4.73,Ki=18.7uM
5a3o,4.73,Kd=18.5uM
1br8,4.74,Kd=18uM
1bty,4.74,Ki=18.4uM
1ce5,4.74,Ki=18.4uM
1qaq,4.74,Ki=18uM
1ru1,4.74,Kd=18uM
1w4p,4.74,Ki=18uM
2e2p,4.74,Ki=18uM
2ov4,4.74,Kd=18uM
2uxu,4.74,Kd=18uM
2vd4,4.74,IC50=18uM
2w68,4.74,Kd=18uM
2wa4,4.74,IC50=18uM
2wyi,4.74,Ki=18uM
2xg3,4.74,Kd=18.2uM
2xzg,4.74,IC50=18uM
3dnt,4.74,Kd=18uM
3erk,4.74,IC50=18uM
3f3u,4.74,Kd=18uM
3g3d,4.74,Ki=18.2uM
3gxt,4.74,Ki=18uM
3hg1,4.74,Kd=18uM
3jqg,4.74,Ki=18uM
3kfn,4.74,IC50=18uM
3lcv,4.74,Kd=18uM
3llm,4.74,Kd=18uM
3puk,4.74,Kd=18uM
3qs8,4.74,Ki=18uM
3rl7,4.74,Kd=18.2uM
3ud7,4.74,Kd=18.1uM
3zmz,4.74,Ki=18uM
4cfm,4.74,IC50=18.2uM
4ih6,4.74,Kd=18uM
4jfi,4.74,Ki=18.1uM
4kyk,4.74,Ki=18uM
4m5m,4.74,Kd=18uM
4o71,4.74,IC50=18uM
4w55,4.74,Kd=18uM
3g2j,4.75,Ki=17.9uM
3nim,4.75,Kd=17.7uM
3vw2,4.75,Kd=17.9uM
4ds1,4.75,Kd=17.9uM
4mnx,4.75,Ki=17.73uM
2cgw,4.76,IC50=17.3uM
3atl,4.76,IC50=17.2uM
3hdk,4.76,Kd=17.5uM
3o5n,4.76,Ki=17.2uM
3rxe,4.76,IC50=17.2uM
3twv,4.76,Kd=17.2uM
4au7,4.76,Kd=17.2uM
4cjn,4.76,Kd=17.54uM
4oef,4.76,Kd=17.5uM
4p7e,4.76,IC50=17.5uM
4uub,4.76,Ki=17.2uM
4wop,4.76,Kd=17.2uM
4z8a,4.76,Kd=17.3uM
1h62,4.77,Kd=17uM
1l5r,4.77,Kd=17uM
1pxi,4.77,IC50=17uM
1rti,4.77,IC50=17uM
1str,4.77,Kd=17uM
1uyk,4.77,IC50=17.1uM
2afw,4.77,Ki=17uM
2b2v,4.77,Kd=17uM
2b4l,4.77,Kd=17uM
2chw,4.77,IC50=17uM
2dua,4.77,Ki=17uM
2f0z,4.77,Ki=0.017mM
2qn1,4.77,IC50=17uM
2x4o,4.77,IC50=17uM
2x4r,4.77,IC50=17uM
2xk4,4.77,IC50=16.9uM
2y1n,4.77,Kd=17uM
3abt,4.77,Ki=17uM
3cyy,4.77,Kd=16.8uM
3d50,4.77,Ki=17uM
3iqu,4.77,Kd=17.0uM
3mkf,4.77,Ki=17uM
3rm9,4.77,Kd=17uM
3rqe,4.77,Kd=17uM
3s1h,4.77,IC50=17uM
3t3i,4.77,Ki=17.00uM
3tiy,4.77,IC50=17uM
3vbx,4.77,IC50=17uM
3vv8,4.77,IC50=17.1uM
4j09,4.77,Kd=17uM
4kax,4.77,Kd=17uM
4kox,4.77,Kd=16.9uM
4uoh,4.77,Kd=17uM
5ccl,4.77,IC50=17uM
5cwa,4.77,IC50=17uM
6prc,4.77,IC50=17uM
2rr4,4.78,Kd=16.7uM
4ad6,4.78,Kd=16.7uM
1eed,4.79,Ki=16.2uM
1oss,4.79,Ki=16.4uM
2nsj,4.79,Kd=16.3uM
3eb1,4.79,Ki=16.3uM
3g2k,4.79,Ki=16.1uM
4as9,4.79,Kd=16.3uM
4j8b,4.79,Kd=16.1uM
4k78,4.79,Ki=16.2uM
1azg,4.8,Kd=16uM
1bju,4.8,Ki=16uM
1ghz,4.8,Ki=16uM
1qxy,4.8,IC50=16uM
1tsv,4.8,Kd=16.0uM
1ybg,4.8,Ki=16uM
2ly0,4.8,IC50=16uM
2nta,4.8,Ki=16uM
2r1x,4.8,Kd=16uM
2vwv,4.8,IC50=16uM
2y2j,4.8,IC50=16uM
3bpc,4.8,Kd=16uM
3dnd,4.8,Ki=16uM
3iiy,4.8,Kd=16uM
3iu7,4.8,IC50=16uM
3kce,4.8,IC50=16uM
3mlb,4.8,IC50=16uM
3o2m,4.8,Kd=16uM
3stj,4.8,Kd=16uM
4aq6,4.8,Kd=15.8uM
4bde,4.8,IC50=15.9uM
4de7,4.8,Kd=16uM
4dhs,4.8,IC50=16uM
4dkt,4.8,Ki=16uM
4llp,4.8,Ki=16uM
4mk1,4.8,IC50=16uM
4pb2,4.8,Kd=16uM
5c6v,4.8,IC50=16.0uM
1b4d,4.81,Ki=15.6uM
1p5e,4.81,IC50=15.6uM
2cgx,4.81,IC50=15.6uM
4ago,4.81,Kd=15.5uM
4yzn,4.81,IC50=15.4uM
5cqj,4.81,IC50=15.4uM
1aid,4.82,Ki=15uM
1dud,4.82,Ki=15uM
1f8e,4.82,Ki=15uM
1njt,4.82,IC50=15uM
1uy9,4.82,IC50=15.3uM
1v1j,4.82,Ki=15uM
1xff,4.82,Ki=15uM
1y3p,4.82,Kd=15uM
1ya4,4.82,Ki=15.2uM
2a0t,4.82,Kd=15uM
2gl0,4.82,Kd=15uM
2gzl,4.82,Kd=15uM
2hb9,4.82,IC50=15uM
2hr6,4.82,Kd=15uM
2ilp,4.82,IC50=15uM
2jal,4.82,Ki=15uM
2l0i,4.82,Kd=15uM
2l11,4.82,Kd=15uM
2ms4,4.82,Kd=15uM
2pwg,4.82,Ki=15uM
2xp8,4.82,IC50=15uM
2xqq,4.82,Kd=15.2uM
2ypi,4.82,Ki=15uM
3ehw,4.82,IC50=15.2uM
3fbr,4.82,Kd=15uM
3ft5,4.82,IC50=15uM
3h0v,4.82,IC50=15uM
3kmx,4.82,Kd=15uM
3kqy,4.82,Kd=15uM
3lxo,4.82,Kd=15uM
3m1j,4.82,IC50=15uM
3qqk,4.82,IC50=15uM
3unk,4.82,IC50=15uM
3vd4,4.82,Ki=0.015mM
3wk5,4.82,IC50=15uM
4dht,4.82,IC50=15uM
4e5f,4.82,IC50=15.0uM
4e6c,4.82,Kd=15uM
4fys,4.82,Kd=15uM
4hup,4.82,IC50=15uM
4ie5,4.82,IC50=15uM
4ih3,4.82,Ki=15.2uM
4io6,4.82,Kd=15.1uM
4kwf,4.82,Ki=15uM
4pkr,4.82,IC50=15.2uM
4pks,4.82,IC50=15.2uM
4rlu,4.82,Kd=15.2uM
3a1s,4.83,Kd=14.8uM
3a1t,4.83,Kd=14.8uM
3cf9,4.83,Ki=14.9uM
3ds0,4.83,Kd=14.9uM
4k6y,4.83,Ki=14.8uM
4nmo,4.83,Kd=14.9uM
4pkt,4.83,IC50=14.9uM
5efa,4.83,Kd=14.7uM
1ftk,4.84,IC50=14.5uM
1nhw,4.84,Ki=14.3uM
1uyh,4.84,IC50=14.3uM
3r0y,4.84,Kd=14.53uM
3vvy,4.84,Kd=14.6uM
4aif,4.84,Kd=14.4uM
4ckj,4.84,Kd=14.3uM
4kif,4.84,Kd=14.6uM
4l7n,4.84,IC50=14.4uM
4m5j,4.84,Kd=14.5uM
4njd,4.84,IC50=14.47uM
4uof,4.84,Kd=14.6uM
5d1r,4.84,Kd=14.4uM
5e1b,4.84,Kd=14.3uM
186l,4.85,Kd=14uM
1bux,4.85,Kd=14uM
1c83,4.85,Ki=14uM
1ecv,4.85,Ki=14uM
1jws,4.85,Kd=14uM
1n51,4.85,Ki=14uM
1o2p,4.85,Ki=14uM
1qji,4.85,Ki=14uM
1tkc,4.85,Kd=14uM
1uu7,4.85,IC50=14uM
1vkj,4.85,Kd=14uM
1xgi,4.85,Ki=14uM
1ymx,4.85,IC50=14.0uM
2j4k,4.85,Kd=14uM
2j87,4.85,IC50=14uM
2ow7,4.85,IC50=0.014mM
2qwd,4.85,Ki=14uM
2r9x,4.85,Ki=14uM
2ww2,4.85,Ki=14uM
3cj2,4.85,Kd=14uM
3f70,4.85,Kd=14uM
3h52,4.85,Kd=14uM
3ik1,4.85,Ki=14uM
3k05,4.85,Ki=14uM
3kpw,4.85,Kd=14uM
3kqa,4.85,IC50=14uM
3ohi,4.85,Ki=14uM
3qnd,4.85,Kd=14uM
3ru1,4.85,Kd=14.2uM
3rv7,4.85,Ki=14uM
3wp1,4.85,Kd=14.1uM
3zyf,4.85,Kd=14.1uM
4fyh,4.85,Ki~14uM
4hpi,4.85,Kd=14.2uM
4iic,4.85,Ki=14uM
4ikn,4.85,Kd=14uM
4j7e,4.85,Kd=14uM
4lq9,4.85,IC50=14uM
4nmt,4.85,Kd=14.1uM
4ok6,4.85,IC50=14uM
4ovh,4.85,Kd=14uM
4q87,4.85,Ki=14uM
4w57,4.85,Kd=14uM
4wmx,4.85,Kd=14.1uM
5abf,4.85,Ki=14uM
5efc,4.85,Kd=14.1uM
6gpb,4.85,Ki=14uM
3g2i,4.86,Ki=13.7uM
5djr,4.86,IC50=13.9uM
1zd5,4.87,IC50=13.4uM
2cgu,4.87,IC50=13.4uM
3hfv,4.87,Ki=13.6uM
3iw8,4.87,Kd=13.4uM
3kjf,4.87,Ki=13.4uM
3l3z,4.87,IC50=13.6uM
4i2z,4.87,Kd=13.5uM
4ipj,4.87,Kd=13.5uM
4os4,4.87,Ki=13.6uM
4q0k,4.87,Kd=13.4uM
4rlw,4.87,Kd=13.4uM
4rra,4.87,Kd=13.4uM
4y3b,4.87,Kd=13.4uM
2clx,4.88,Ki=13.3uM
2ylo,4.88,IC50=13.1uM
3exh,4.88,Kd=13.1uM
3ij0,4.88,Kd=13.2uM
3lp4,4.88,Kd=13.1uM
3pjt,4.88,Kd=13.1uM
3pju,4.88,Kd=13.1uM
4l7o,4.88,IC50=13.2uM
5alt,4.88,IC50=13.1uM
1h0w,4.89,IC50=13uM
1h61,4.89,Kd=13uM
1h79,4.89,Kd=13uM
1ilq,4.89,Ki=13uM
1pxj,4.89,IC50=13uM
1z6f,4.89,Ki=13uM
2aoc,4.89,Ki=13.0uM
2j77,4.89,Kd=12.9uM
2lsk,4.89,Kd=13uM
2vo5,4.89,Ki=13uM
3cx9,4.89,Kd=12.9uM
3hfz,4.89,Ki=13uM
3juk,4.89,Kd=12.9uM
3m8u,4.89,Kd=12.9uM
3nij,4.89,Kd=12.9uM
3njq,4.89,Kd=13uM
3qs6,4.89,Kd=12.8uM
4cd1,4.89,Ki=12.8uM
4f14,4.89,Kd=12.93uM
4l9i,4.89,Kd=13uM
4o0j,4.89,IC50=13uM
4o7f,4.89,IC50=13uM
4pgh,4.89,Kd=13uM
4pnu,4.89,Kd=13uM
4qh8,4.89,Kd=12.8uM
4wj7,4.89,Kd=13uM
5prc,4.89,IC50=13uM
3cf8,4.9,Ki=12.7uM
3k3j,4.9,IC50>12.5uM
3oui,4.9,IC50=12.6uM
4a9i,4.9,IC50=12.6uM
4lil,4.9,Kd=12.5uM
1km3,4.91,Ki=12.4uM
1n0t,4.91,IC50=12.2uM
3ibc,4.91,Ki=12.4uM
3juq,4.91,Kd=12.4uM
3lpt,4.91,IC50=12.2uM
3nin,4.91,Kd=12.4uM
3rdv,4.91,Kd=12.3uM
3t3d,4.91,Ki=12.39uM
3te5,4.91,Kd=12.3uM
4apo,4.91,Kd=12.3uM
4c0r,4.91,Kd=12.2uM
1e1v,4.92,Ki=12uM
1ff1,4.92,Kd=12uM
1h1p,4.92,Ki=12uM
1h4n,4.92,Ki=12uM
1jqy,4.92,Ki=12uM
1nlt,4.92,Kd=12uM
1y2f,4.92,Kd=12uM
2a58,4.92,Kd=12.0uM
2c93,4.92,IC50=12uM
2ggb,4.92,IC50=12uM
2haw,4.92,Kd=12uM
2w70,4.92,IC50=12.0uM
3azb,4.92,IC50=12uM
3chd,4.92,IC50=12uM
3dgq,4.92,IC50=12.0uM
3eax,4.92,Ki=12uM
3i6c,4.92,Ki=12uM
3k15,4.92,Ki=12uM
3ntp,4.92,IC50=12uM
3rv8,4.92,Ki=12uM
3rv9,4.92,Ki=12uM
3s00,4.92,IC50=12uM
3szb,4.92,IC50=12uM
3ukr,4.92,IC50=12uM
3vdc,4.92,Ki=0.012mM
4b81,4.92,IC50=12uM
4c73,4.92,Kd=12.1uM
4g55,4.92,IC50=12uM
4j47,4.92,Ki=12.02uM
4n8d,4.92,IC50=11.9uM
4re9,4.92,IC50=12.1uM
4zlo,4.92,IC50=12uM
2wib,4.93,Kd=11.8uM
2y7k,4.93,Kd=11.80uM
3iqj,4.93,Kd=11.7uM
3uxk,4.93,Ki=11.7uM
3zmj,4.93,IC50=11.71uM
4bdc,4.93,IC50=11.7uM
4cxy,4.93,IC50=11.8uM
4ido,4.93,Kd=11.63uM
4lc7,4.93,IC50=11.8uM
1e2k,4.94,Ki=11.4uM
1r2b,4.94,Kd=11.4uM
2gss,4.94,Ki=11.5uM
2vd0,4.94,IC50=11.6uM
2vo4,4.94,Kd=11.6uM
2vpe,4.94,Kd=11.4uM
3dow,4.94,Kd=11.5uM
4dmw,4.94,Kd=11.4uM
4lbp,4.94,Kd=11.4uM
4mnv,4.94,Ki=11.56uM
4nms,4.94,Kd=11.4uM
4p4s,4.94,Kd=11.5uM
4qht,4.94,Kd=11.5uM
4ts1,4.94,Kd=11.6uM
1jn4,4.95,Ki=11.3uM
2gh6,4.95,IC50=11.19uM
2x95,4.95,Ki=11.3uM
2z50,4.95,IC50=11.22uM
3bpr,4.95,IC50=11.3uM
3mxr,4.95,Ki=11.3uM
3vp3,4.95,IC50=11.1uM
4bup,4.95,Kd=11.2uM
4cft,4.95,Ki=11.16uM
4civ,4.95,Ki=11.2uM
4f1q,4.95,Kd=11.2uM
4nmv,4.95,Kd=11.1uM
1ao0,4.96,Kd=11.0uM
1cea,4.96,Kd=11uM
1dar,4.96,Kd=11uM
1elr,4.96,Kd=11uM
1gj5,4.96,Ki=11uM
1nlp,4.96,Kd=11uM
1o5g,4.96,Ki=11uM
1pg2,4.96,Kd=11uM
1pwq,4.96,Ki=11uM
1t3t,4.96,Ki=11uM
1tsy,4.96,Kd=11.0uM
1uz8,4.96,Kd=11uM
2c6i,4.96,IC50=11uM
2pks,4.96,IC50=11uM
2vjx,4.96,Ki=11uM
2w67,4.96,Ki=11uM
2xsb,4.96,IC50=11uM
2yoh,4.96,Ki=11uM
3bxg,4.96,Kd=10.98uM
3d67,4.96,Ki=11uM
3hxf,4.96,IC50=11uM
3lbj,4.96,Ki=11uM
3m5a,4.96,Kd=11uM
3n2e,4.96,Kd=11uM
3n87,4.96,Ki=11uM
3udr,4.96,IC50=11uM
3unj,4.96,IC50=11uM
3veh,4.96,Ki=11uM
3zsq,4.96,Kd=10.9uM
4c16,4.96,Kd=11.04uM
4j04,4.96,IC50=11uM
4jsa,4.96,Ki=11uM
4k5l,4.96,Ki=11uM
4lbl,4.96,Kd=11uM
4oym,4.96,IC50=11uM
4pl5,4.96,IC50=11uM
4rlt,4.96,Kd=10.9uM
5ajo,4.96,Kd=11uM
5al3,4.96,IC50=11uM
5fjx,4.96,Kd=11uM
2ew6,4.97,IC50=10.8uM
2kaw,4.97,Ki=10.7uM
2wd7,4.97,Ki=10.6uM
3lle,4.97,Kd=10.7uM
3qbc,4.97,Kd=10.8uM
3uik,4.97,Kd=10.6uM
3zn0,4.97,Ki=10.7uM
4c1c,4.97,IC50=10.7uM
4c3k,4.97,Kd=10.6uM
4e3g,4.97,Ki=10.6uM
4in9,4.97,Ki=10.7uM
4ozl,4.97,Kd=10.6uM
2gfa,4.98,Kd=10.4uM
2h2h,4.98,Kd=10.5uM
2rox,4.98,IC50=10.5uM
2vr3,4.98,Kd=10.5uM
2w47,4.98,Kd=10.5uM
2y7w,4.98,Kd=10.38uM
4jfl,4.98,Kd=10.5uM
4mqp,4.98,Ki=10.4uM
4re2,4.98,Ki=10.4uM
4wv6,4.98,Kd=10.4uM
1j4p,4.99,Kd=10.2uM
1k3n,4.99,Kd=10.2uM
3gjs,4.99,Ki=10.2uM
3hrf,4.99,Kd=10.3uM
3wp0,4.99,Kd=10.2uM
4b12,4.99,IC50=10.2uM
4jht,4.99,IC50=10.2uM
4qc1,4.99,Kd=10.35uM
4tsx,4.99,Kd=10.3uM
4w9d,4.99,Kd=10.2uM
4xqa,4.99,Kd=10.3uM
1c84,5.0,Ki=9.9uM
1cp6,5.0,Ki=10uM
1f8a,5.0,Kd=10uM
1fgi,5.0,IC50=10uM
1fv9,5.0,IC50=10uM
1gsf,5.0,IC50~10uM
1hlk,5.0,Ki=10uM
1hqf,5.0,Ki=10uM
1i6v,5.0,Ki=10uM
1ih0,5.0,Kd=10uM
1inf,5.0,IC50=10uM
1jm4,5.0,Kd=10uM
1jpl,5.0,Kd=10uM
1kr3,5.0,Ki=10uM
1nnb,5.0,Ki=10uM
1o35,5.0,Ki=10uM
1oai,5.0,Kd=10uM
1pip,5.0,Ki<10uM
1ql7,5.0,Kd=10uM
1r6z,5.0,Kd>10uM
1sbr,5.0,Kd=10uM
1sts,5.0,Kd=10uM
1uvu,5.0,Ki=10uM
1w2h,5.0,Ki=10uM
1yid,5.0,Kd=10uM
1zhl,5.0,Kd=9.9uM
2aig,5.0,IC50=10uM
2bgd,5.0,Kd<10uM
2jqi,5.0,Kd=10uM
2kbs,5.0,Kd=10uM
2oiq,5.0,Kd=10uM
2oym,5.0,Ki=10uM
2qcn,5.0,IC50=10uM
2vxn,5.0,Kd=10uM
2w6u,5.0,Kd=10000nM
2w76,5.0,Kd=10000nM
2y6c,5.0,IC50=10uM
3cfn,5.0,Kd=10uM
3d1g,5.0,Ki=10uM
3dkg,5.0,Ki<10uM
3dp1,5.0,IC50=9.92uM
3dvp,5.0,Kd=0.01mM
3ezr,5.0,IC50=10uM
3gbe,5.0,Ki=10uM
3k02,5.0,Kd=10.0uM
3new,5.0,Kd=10uM
3omc,5.0,Kd=10uM
3p9m,5.0,Kd=10uM
3pax,5.0,IC50=10uM
